<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Si-9.23,1,20230912,090000,94095.0000000,94262.0000000,94000.0000000,94254.0000000,15796
SPFB.Si-9.23,1,20230912,090100,94245.0000000,94390.0000000,94233.0000000,94380.0000000,7468
SPFB.Si-9.23,1,20230912,090200,94380.0000000,94390.0000000,94266.0000000,94275.0000000,5394
SPFB.Si-9.23,1,20230912,090300,94276.0000000,94276.0000000,94141.0000000,94218.0000000,6641
SPFB.Si-9.23,1,20230912,090400,94218.0000000,94276.0000000,94200.0000000,94213.0000000,3799
SPFB.Si-9.23,1,20230912,090500,94211.0000000,94324.0000000,94211.0000000,94310.0000000,4419
SPFB.Si-9.23,1,20230912,090600,94310.0000000,94380.0000000,94256.0000000,94364.0000000,4557
SPFB.Si-9.23,1,20230912,090700,94364.0000000,94365.0000000,94264.0000000,94320.0000000,5649
SPFB.Si-9.23,1,20230912,090800,94320.0000000,94337.0000000,94226.0000000,94260.0000000,3601
SPFB.Si-9.23,1,20230912,090900,94257.0000000,94267.0000000,94235.0000000,94241.0000000,2674
SPFB.Si-9.23,1,20230912,091000,94241.0000000,94264.0000000,94235.0000000,94254.0000000,1788
SPFB.Si-9.23,1,20230912,091100,94254.0000000,94254.0000000,94173.0000000,94186.0000000,3510
SPFB.Si-9.23,1,20230912,091200,94186.0000000,94214.0000000,94161.0000000,94166.0000000,2216
SPFB.Si-9.23,1,20230912,091300,94166.0000000,94187.0000000,94152.0000000,94166.0000000,1794
SPFB.Si-9.23,1,20230912,091400,94167.0000000,94171.0000000,94110.0000000,94152.0000000,3085
SPFB.Si-9.23,1,20230912,091500,94147.0000000,94188.0000000,94129.0000000,94184.0000000,2805
SPFB.Si-9.23,1,20230912,091600,94184.0000000,94212.0000000,94151.0000000,94181.0000000,1925
SPFB.Si-9.23,1,20230912,091700,94181.0000000,94210.0000000,94173.0000000,94199.0000000,1551
SPFB.Si-9.23,1,20230912,091800,94199.0000000,94219.0000000,94191.0000000,94215.0000000,1760
SPFB.Si-9.23,1,20230912,091900,94213.0000000,94220.0000000,94190.0000000,94191.0000000,1146
SPFB.Si-9.23,1,20230912,092000,94191.0000000,94197.0000000,94159.0000000,94177.0000000,1279
SPFB.Si-9.23,1,20230912,092100,94178.0000000,94184.0000000,94116.0000000,94140.0000000,2815
SPFB.Si-9.23,1,20230912,092200,94140.0000000,94222.0000000,94136.0000000,94200.0000000,3981
SPFB.Si-9.23,1,20230912,092300,94200.0000000,94228.0000000,94143.0000000,94176.0000000,4185
SPFB.Si-9.23,1,20230912,092400,94176.0000000,94261.0000000,94174.0000000,94261.0000000,2254
SPFB.Si-9.23,1,20230912,092500,94259.0000000,94292.0000000,94234.0000000,94255.0000000,2821
SPFB.Si-9.23,1,20230912,092600,94255.0000000,94274.0000000,94249.0000000,94264.0000000,864
SPFB.Si-9.23,1,20230912,092700,94268.0000000,94280.0000000,94258.0000000,94272.0000000,1152
SPFB.Si-9.23,1,20230912,092800,94267.0000000,94274.0000000,94206.0000000,94216.0000000,1516
SPFB.Si-9.23,1,20230912,092900,94216.0000000,94260.0000000,94216.0000000,94234.0000000,1088
SPFB.Si-9.23,1,20230912,093000,94234.0000000,94270.0000000,94234.0000000,94264.0000000,1188
SPFB.Si-9.23,1,20230912,093100,94264.0000000,94295.0000000,94264.0000000,94289.0000000,1086
SPFB.Si-9.23,1,20230912,093200,94288.0000000,94311.0000000,94287.0000000,94308.0000000,1836
SPFB.Si-9.23,1,20230912,093300,94308.0000000,94311.0000000,94275.0000000,94279.0000000,1807
SPFB.Si-9.23,1,20230912,093400,94274.0000000,94283.0000000,94274.0000000,94283.0000000,431
SPFB.Si-9.23,1,20230912,093500,94283.0000000,94302.0000000,94272.0000000,94299.0000000,871
SPFB.Si-9.23,1,20230912,093600,94304.0000000,94344.0000000,94304.0000000,94339.0000000,2262
SPFB.Si-9.23,1,20230912,093700,94339.0000000,94342.0000000,94327.0000000,94331.0000000,712
SPFB.Si-9.23,1,20230912,093800,94331.0000000,94337.0000000,94230.0000000,94249.0000000,1882
SPFB.Si-9.23,1,20230912,093900,94248.0000000,94262.0000000,94240.0000000,94250.0000000,809
SPFB.Si-9.23,1,20230912,094000,94251.0000000,94252.0000000,94059.0000000,94080.0000000,4049
SPFB.Si-9.23,1,20230912,094100,94081.0000000,94167.0000000,94030.0000000,94089.0000000,4851
SPFB.Si-9.23,1,20230912,094200,94090.0000000,94136.0000000,94040.0000000,94041.0000000,1711
SPFB.Si-9.23,1,20230912,094300,94041.0000000,94059.0000000,94035.0000000,94055.0000000,1272
SPFB.Si-9.23,1,20230912,094400,94056.0000000,94059.0000000,93790.0000000,93894.0000000,11734
